魚の名前,英名,保存した画像ファイル名,分類,解説,image2,image3
アオスジハタ,Blue-lined grouper,aosujihata3.jpg,ハタ科,"全長：30cm
生息：サンゴ礁の浅所に生息する。
分布：和歌山県以南、インドから西部太平洋。
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★☆☆☆
体側から鰭は褐色の地色に青い筋が入っている。",aosujihata2.jpg,aosujihata1.jpg
ユカタハタ,Coral grouper,yukatahata3.jpg,ハタ科,"全長：40cm
生息：サンゴ礁域に生息する。
分布：南日本、インドから太平洋。
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆
体色は赤色からオレンジ色で鮮やかな青色斑点が美しい。",yukatahata2.jpg,yukatahata1.jpg
マダラハタ,Camouflage grouper,madarahata1.jpg,ハタ科,"全長：80cm
生息：岩礁域や斜面に生息する。着底して休んでいることが多い。
分布：南日本、インドから太平洋。
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",欠損,欠損
サラサハタ,Barramudi,sarasahata1.jpg,ハタ科,"全長：50cm
生息：浅いサンゴ礁、岩礁域に生息する。
分布：伊豆半島以南、インドから太平洋。
レア度：★★★★☆

人気：★★★★☆

撮り易さ：★★★☆☆
小さな頭部と白地に黒の水玉模様が特徴。幼魚は伊豆でも見られる。",sarasahata2.jpg,欠損
アオノメハタ,Peacock grouper,aonomehata3.jpg,ハタ科,"全長：40cm
生息：サンゴ礁の浅所に生息する。
分布：琉球列島、インドから太平洋。
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆
黒く縁取られた斑点を持ち、尾鰭は円形となる。",aonomehata4.jpg,aonomehata1.jpg
オオアオノメアラ,Squaretail coralgrouper,ooaonomeara1.jpg,ハタ科,"全長：60cm
生息：サンゴ礁外域の砂地などに生息する。
分布：琉球列島、インドから太平洋。
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆
全身に黒く縁取られた斑点があり、尾鰭後端や背鰭、臀鰭が黒色になる。",欠損,欠損
ヌノサラシ,Sixline soapfish,nunosarashi2.jpg,ハタ科,"全長：25cm
生息：サンゴ礁域、岩礁域に生息する。
分布：静岡県以南の南日本、インド、太平洋。
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆
灰黒色に黄白色の縦筋がある。眼付近や口にも黄白色の模様が複雑に入る。",nunosarashi1.jpg,nunosarashi3.jpg
ブラックハムレット,Black Hamlet,blackhamlet1.jpg,ハタ科,"全長：14cm
生息：隠れる場所のある岩礁域や斜面に見られる。
分布：カリブ海、西大西洋
レア度：★★★★★
人気：★★★★☆

撮り易さ：★★★☆☆",欠損,欠損
ナガハナダイ,-,nagahanadai3.jpg,ハタ科,"全長：14cm
生息：水深３０ｍ以深の岩礁域に生息する。
分布：伊豆半島以南に分布する。琉球列島には見られない。
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆
体側にさざ波状の模様がある。",nagahanadai4.jpg,nagahanadai1.jpg
スジハナダイ,One-stripe anthias,sujihanadai3.jpg,ハタ科,"全長：15cm
生息：サンゴ礁、岩礁域。水深
30～70m。
分布：伊豆大島、静岡県以南の南日本、西太平洋。
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆
鰓付近から尾鰭に向かう１本の赤帯がある。伊豆大島では普通種である。",sujihanadai6.jpg,sujihanadai1.jpg
コクハンハタ,Saddle grouper,kokuhanhata1.jpg,ハタ科,"全長：40cm
生息：隠れる穴のあるサンゴ礁域に生息する。
分布：南日本、インドから太平洋。
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆
体色は赤色からオレンジ色で、５から６つの横帯を持ち、横帯は背部で黒くなる。",欠損,欠損
ランターンバス,Lantern Bass,lanternbass2.jpg,ハタ科,"全長：6cm
生息：リーフ近くの砂底域、礫底域
分布：フロリダ半島、メキシコ湾からブラジルまでの西大西洋
レア度：★★★★☆

人気：★★☆☆☆
撮り易さ：★★★☆☆",lanternbass1.jpg,欠損
ベニハナダイ,-,benihanadai1.jpg,ハタ科,"全長：8cm
生息：サンゴ礁、岩礁域。水深
30～70m。
分布：静岡県以南の南日本。
レア度：★★★★☆

人気：★★★☆☆
撮り易さ：★★☆☆☆
桃色の体色と目の周りが黄色いことで多種と区別できる。",欠損,欠損
タイガーグルーパー,Tiger grouper,tigergrouper1.jpg,ハタ科,"全長：100cm
生息：リーフ近くの砂底域、礫底域
分布：フロリダ半島、メキシコ湾からブラジルまでの西大西洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",tigergrouper2.jpg,欠損
パープルビューティー,Purple anthias,purplebeauty1.jpg,ハタ科,"全長：12cm
生息：潮通しの良いサンゴ礁、岩礁に、群れで生息。水深
2～40ｍ.
分布：インドネシア、フィリピンからパラオ、バヌアツに分布。
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★☆☆☆
成魚は口の下側が黄色であり、幼魚は背部や尾鰭上下縁が黄色い。",purplebeauty6.jpg,purplebeauty3.jpg
バードハムレット,Barred Hamlet,barredhamlet3.jpg,ハタ科,"全長：15cm
生息：隠れる場所のある岩礁域や斜面に見られる。
分布：カリブ海からバミューダ諸島
レア度：★★★★☆

人気：★★★★☆

撮り易さ：★★★☆☆
ハムレットの仲間の中では最もポピュラー。",barredhamlet1.jpg,barredhamlet2.jpg
バターハムレット,Butter Hamlet,butterhamlet1.jpg,ハタ科,"全長：12cm
生息：隠れる場所のある岩礁域や斜面に見られる。
分布：カリブ海、西大西洋
レア度：★★★★☆

人気：★★★★☆

撮り易さ：★★★☆☆",butterhamlet2.jpg,butterhamlet3.jpg
ツチホゼリ,Speckled blue grouper,tsuchihozeri2.jpg,ハタ科,"全長：100cm
生息：サンゴ礁域に生息する。
分布：琉球列島、小笠原諸島、インドから太平洋。
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆
青色の体色に黒色の小斑点を多数持つ。鰭の縁部や口の一部が黒い。",tsuchihozeri1.jpg,欠損
オオテンハナゴイ,Princess anthias,ootenhanagoi1.jpg,ハタ科,"全長：6cm
生息：２０ｍ以深の潮通しの良い礁帯に群れで生息する。
分布：八重山諸島、インド洋から太平洋
レア度：★★★★☆

人気：★★★★☆

撮り易さ：★★★☆☆
日本ではかなり珍しい種類。体側に黄色い小斑点があり、尾鰭が伸長する。",ootenhanagoi4.jpg,ootenhanagoi2.jpg
インディゴハムレット,Indigo hamlet,indigohamlet2.jpg,ハタ科,"全長：12cm
生息：隠れる場所のある岩礁域や斜面に見られる。
分布：カリブ海、西大西洋
レア度：★★★★★
人気：★★★★☆

撮り易さ：★★★☆☆",indigohamlet1.jpg,欠損
アカネハナゴイ,Peach fairy basslet,akanehanagoi8.jpg,ハタ科,"全長：7cm
生息：潮通しの良いサンゴ礁。
分布：琉球列島、インド、太平洋。
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆
雄の前に張り出した赤い背鰭が特徴的。",akanehanagoi7.jpg,akanehanagoi6.jpg
ルソンハナダイ,Luzon basslet,luzonhanadai2.jpg,ハタ科,"全長：15cm
生息：水深20～50ｍの潮通しの良いサンゴ礁、岩礁域に生息する。
分布：フィリピンから東部オーストラリア。
レア度：★★★★☆

人気：★★★★☆

撮り易さ：★★★☆☆",luzonhanadai1.jpg,欠損
フラッグカブリラ,Flag cabrilla,flagcabrilla2.jpg,ハタ科,"全長：50cm
生息：岩礁域や斜面に生息する。着底して休んでいることが多い。
分布：東部太平洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★★☆

Starry
grouperと呼ばれることもある。",flagcabrilla1.jpg,flagcabrilla3.jpg
ブラックグルーパー,Black Grouper,blackgrouper4.jpg,ハタ科,"全長：150cm
生息：リーフ近くの砂底域、礫底域
分布：米国からブラジルまでの西大西洋
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",blackgrouper3.jpg,blackgrouper2.jpg
アサヒハナゴイ,Yellowspoted anthias,asahihanagoi5.jpg,ハタ科,"全長：10cm
生息：サンゴ礁、岩礁域。水深
30～60m。
分布：伊豆諸島、伊豆半島以南。
レア度：★★★★☆

人気：★★★★☆

撮り易さ：★★★☆☆
伊豆大島では定常的に見られる。背部の赤斑が特徴。",asahihanagoi6.jpg,asahihanagoi3.jpg
アカホシハタ,Graysby,akahoshihata1.jpg,ハタ科,"全長：50cm
生息：サンゴ礁の浅所に生息する。
分布：カリブ海、メキシコ湾からブラジルの西部大西洋
レア度：★★★★☆

人気：★★★☆☆
撮り易さ：★★★☆☆",akahoshihata2.jpg,欠損
ミナミハナダイ,Slender anthias,minamihanadai1.jpg,ハタ科,"全長：6cm
分布：伊豆半島
レア度：★★★★☆

人気：★★★★☆

写真映え：★★★★☆

やや深い岩礁域で群れを形成する。",欠損,欠損
アカオビハナダイ,Redbar anthias,akaobihanadai4.jpg,ハタ科,"全長：12cm
生息：サンゴ礁、岩礁域に生息する。
分布：伊豆半島以南、太平洋域に分布する。
レア度：★★★☆☆
人気：★★★★☆

撮り易さ：★★★☆☆
雄は太い赤色横帯があり、白色や黄色の混じる派手な色が目立つ。雌や幼魚は尾鰭の先端部が赤い。",akaobihanadai1.jpg,akaobihanadai7.jpg
マダラハナダイ,Blotched Anthias,madarahanadai1.jpg,ハタ科,"全長：13cm
分布：伊豆諸島、インド洋から西太平洋
レア度：★★★★★
人気：★★★★★
写真映え：★★★★★
水深４０ｍ以深の岩礁域に生息する。生息地が限られ、深場でしか見られないが、美しい体色で人気がある。",madarahanadai2.jpg,欠損
ナガハナダイ属の1種-1,Anthias SP.1,nagahanadai1-2.jpg,ハタ科,"全長：6cm
生息：サンゴ礁域に群れで生息する。
分布：パラオ
レア度：★★★★★
人気：★★★☆☆
撮り易さ：★★☆☆☆
パラオにて見られる。未記載種と思われる。",nagahanadai1-1.jpg,欠損
ナガハナダイ属の1種-2,Anthias SP.2,nagahanadai2-1.jpg,ハタ科,"全長：8cm
生息：サンゴ礁域に群れで生息する。
分布：パラオ
レア度：★★★★★
人気：★★★☆☆
撮り易さ：★★☆☆☆
パラオにて見られる。未記載種と思われる。",欠損,欠損
レッドシーアンティアス,Red sea anthias,redseaanthias4.jpg,ハタ科,"全長：10cm
生息：隠れる場所のあるサンゴ礁域、岩礁域。
分布：紅海
レア度：★★★★☆

人気：★★★★☆

撮り易さ：★★★☆☆
紅海の固有種。キンギョハナダイより深い場所に群れを形成する。",redseaanthias2.jpg,redseaanthias3.jpg
ナッソーグルーパー,Nassau grouper,nassaugrouper1.jpg,ハタ科,"全長：120cm
生息：起伏のある岩礁域や斜面
分布：フロリダ半島、カリブ海
レア度：★★★★☆

人気：★★★☆☆
撮り易さ：★★★☆☆",欠損,欠損
アカマダラハタ,Brown-marbled grouper,akamadarahata2.jpg,ハタ科,"全長：80cm
生息：サンゴ礁域浅所に生息する。
分布：琉球列島、インド、西太平洋に分布。
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆
まだら模様の体色であり、眼付近の頭部が大きくへこんでいる。",akamadarahata1.jpg,欠損
ニラミハナダイ,Longfin anthias,niramihanadai1.jpg,ハタ科,"全長：6cm
生息：水深３０ｍ以深のサンゴ礁、岩礁域。
分布：小笠原諸島、八重山諸島、太平洋。
レア度：★★★★★
人気：★★★★★
撮り易さ：★★☆☆☆
雄は赤い体色に紫の斑点が並び、頭部や鰭には鮮やかな黄色や青色が混じる。非常に美しい人気種である。
小笠原諸島やパラオでは定常的に見られるが、水深は３０ｍより深いことが多い。",niramihanadai2.jpg,niramihanadai3.jpg
パナマグレイスビー,Panama graysby,panamagraysby2.jpg,ハタ科,"全長：30cm
生息：岩礁域や斜面に生息する。着底して休んでいることが多い。
分布：東部太平洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",panamagraysby1.jpg,欠損
オシャレハナダイ,Pelicier's Parchlet,osyarehanadai4.jpg,ハタ科,"全長：6cm
生息：岩礁域の底や穴の中。水深
30～70m。
分布：伊豆諸島、琉球列島、モーリシャス。
レア度：★★★★☆

人気：★★★★☆

撮り易さ：★★☆☆☆
30m以深の岩礁帯に単独またはペアで生息する。川奈では若魚が水深４ｍで確認できた。",osyarehanadai3.jpg,osyarehanadai2.jpg
ハーレクインバス,Harlequin Bass,harlequinbass2.jpg,ハタ科,"全長：10cm
生息：起伏のある岩礁域や斜面
分布：フロリダ半島、カリブ海
レア度：★★★★☆

人気：★★☆☆☆
撮り易さ：★★★☆☆",harlequinbass1.jpg,欠損
ケラマハナダイ,Truncate anthias,keramahanadai6.jpg,ハタ科,"全長：10cm
生息：サンゴ礁域に群れで生息する。水深
10～30m。
分布：琉球列島、インド、太平洋。
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆
雄は背鰭の赤色斑が特徴であり、雌や幼魚は尾鰭の縁部が赤い。",keramahanadai7.jpg,keramahanadai4.jpg
コウリンハナダイ,Sunset anthias,kourinhanadai3.jpg,ハタ科,"全長：8cm
生息：水深４０ｍ以深の岩礁、サンゴ礁域に生息する。
分布：伊豆大島、インド洋から西太平洋に分布する。
レア度：★★★★☆

人気：★★★★☆

撮り易さ：★★★☆☆
日本では伊豆半島や伊豆大島などで見られる。雄は尾鰭上下縁と背鰭が紫色となる。",kourinhanadai2.jpg,kourinhanadai1.jpg
キンギョハナダイ,Scalefin anthias,kingyohanadai2.jpg,ハタ科,"全長：11cm
生息：岩礁や根の近くで大きな群れで生息する。
分布：関東以南、紅海からインド、太平洋。
レア度：★☆☆☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆
岩礁やサンゴ礁で大きな群れを形成する。浅い水深でも見られるため、シュノーケリングでも人気があるポピュラーな種である。",kingyohanadai3.jpg,kingyohanadai4.jpg
バードセラーノ,Barred serrano,barredserrano1.jpg,ハタ科,"全長：15cm
生息：リーフ近くの砂底域、礫底域
分布：東部太平洋
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",barredserrano2.jpg,欠損
ペインテッドアンティアス,Painted anthias,paintedanthias3.jpg,ハタ科,"全長：12cm
生息：水深１０～３０ｍの潮通しの良い岩礁帯に群れで生息する。
分布：グレートバリアリーフ、ニューカレドニア
レア度：★★★★★
人気：★★★★★
撮り易さ：★★★☆☆
雄と雌とで色彩が大きく異なる。",paintedanthias2.jpg,paintedanthias1.jpg
カシワハナダイ,Silverstreak anthias,kashiwahanadai2.jpg,ハタ科,"全長：10cm
生息：潮通しの良いサンゴ礁。
分布：千葉県以南の南日本、インド、太平洋。
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆
青色に縁どられた赤い鰭が美しく、雄は体側に細い横帯がある。",kashiwahanadai1.jpg,kashiwahanadai7.jpg
レオパードグルーパー,Leopard grouper,leopardgrouper1.jpg,ハタ科,"全長：90cm
生息：リーフ近くの砂底域、礫底域
分布：東部太平洋
レア度：★★★★☆

人気：★★★☆☆
撮り易さ：★★★☆☆",leopardgrouper2.jpg,欠損
フタイロハナゴイ,Bicolor anthias,futairohanagoi2.jpg,ハタ科,"全長：10cm
生息：潮通しの良いサンゴ礁、岩礁域。
分布：静岡県以南の南日本、インド、太平洋。
レア度：★★★★☆

人気：★★★★☆

撮り易さ：★★★☆☆
体の上部は黄色で株は白から薄紫色となる。",futairohanagoi5.jpg,futairohanagoi3.jpg
キシマハナダイ,Yellow-lined anthias,kishimahanadai2.jpg,ハタ科,"全長：8cm
分布：伊豆半島、静岡県以南の南日本、西太平洋
レア度：★★★★★
人気：★★★★★
写真映え：★★★★★
水深３０ｍ以深の岩礁域に生息する。",kishimahanadai1.jpg,kishimahanadai4.jpg
イトヒキハナダイ,-,itohikihanadai3.jpg,ハタ科,"全長：8cm
生息：水深４０ｍ以深の岩礁域に生息する。
分布：伊豆半島、伊豆大島、高知県に分布する。
レア度：★★★★★
人気：★★★★★
撮り易さ：★★★☆☆
生息地が限られ、深場でしか見られないが、美しい体色で人気がある。",itohikihanadai4.jpg,itohikihanadai1.jpg
シロブチハタ,Highfin grouper,shirobuchihata4.jpg,ハタ科,"全長：40cm
生息：サンゴ礁域浅所に生息する。
分布：琉球列島、インド、西太平洋に分布。
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆
全身にやや不鮮明な黒ぶちがあり、背部に明瞭な白色斑がある。",shirobuchihata1.jpg,shirobuchihata2.jpg
バラナガハナダイ,-,baranagahanadai1.jpg,ハタ科,"全長：15cm
生息：サンゴ礁、岩礁域。水深
30以深。
分布：静岡県以南の南日本。
レア度：★★★★☆

人気：★★★☆☆
撮り易さ：★★★☆☆
のっぺりとした体色で特徴に乏しい。",baranagahanadai2.jpg,欠損
ミナミハナダイ属の1種,Slender anthias,minamihanadai1-1.jpg,ハタ科,"全長：6cm
生息：サンゴ礁、岩礁域
分布：伊豆大島
レア度：★★★★★
人気：★★★☆☆
撮り易さ：★★☆☆☆
伊豆大島で見られるが、種の同定はされていない。",欠損,欠損
ハーフスポッテッドハインド,Halfspotted hind,halfspottedhind2.jpg,ハタ科,"全長：35cm
生息：沿岸の岩礁域
分布：紅海からパキスタン、ペルシャ湾
レア度：★★★★☆

人気：★★★☆☆
撮り易さ：★★★☆☆",halfspottedhind1.jpg,欠損
スポッテッドサンドバス,Spotted sand bass,spottedsandbass1.jpg,ハタ科,"全長：50cm
生息：岩礁近くの砂底域
分布：米国西海岸、カリフォルニア半島からニカラグア
レア度：★★★★☆

人気：★★★☆☆
撮り易さ：★★★☆☆",spottedsandbass2.jpg,欠損
アカボシハナゴイ,Lori's anthias,akaboshihanagoi3.jpg,ハタ科,"全長：12cm
生息：礁域の斜面、ドロップオフに群れで生息する。
分布：西表島、インド洋から中西部太平洋。
レア度：★★★★☆

人気：★★★★☆

撮り易さ：★★★☆☆
尾部の赤斑は縦方向に長いことで、アサヒハナゴイと区別できる。",akaboshihanagoi4.jpg,akaboshihanagoi2.jpg
フチドリハナダイ,Randall's fairy basslet,fuchidorihanadai2.jpg,ハタ科,"全長：7cm
分布：小笠原諸島、琉球列島、太平洋。
レア度：★★★★★
人気：★★★★☆

写真映え：★★★★★
サンゴ礁、岩礁域の岩棚の下や岩穴に生息。水深
30m～60m。比較的深い水深に生息する。雄は腹鰭の縁が赤く、背鰭や臀鰭の縁は紫色である。",fuchidorihanadai3.jpg,fuchidorihanadai1.jpg
コーラルロックグルーパー,Coral rock grouper,coralrockgrouper2.jpg,ハタ科,"全長：50cm
生息：サンゴ礁域浅所に生息する。
分布：西部太平洋の熱帯域に分布する。
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆
灰色の地色に黒色斑点とまだら模様がある。",coralrockgrouper1.jpg,欠損
バートレットアンティアス,Bartletts anthias,bartlettsanthias1.jpg,ハタ科,"全長：8cm
生息：浅いサンゴ礁域に群れで生息する。
分布：パラオやパプアニューギニアなどの西部太平洋
レア度：★★★★☆

人気：★★★★☆

撮り易さ：★★★☆☆
体色は薄桃色と黄色の２色であり、尾鰭の上下縁や背鰭の一部に紫色が入る。",bartlettsanthias2.jpg,欠損
オレンジバーアンティアス,Orangebar anthias,orangebaranthias2.jpg,ハタ科,"全長：10cm
生息：サンゴ礁域で遊泳する。
分布：グレートバリアリーフ、ニューカレドニア
レア度：★★★★☆

人気：★★★★☆

撮り易さ：★★★☆☆
背鰭の赤色斑と体側の横帯が特徴。日本では見られない。",orangebaranthias1.jpg,欠損
パシフィッククレオレフィッシュ,Pacific creolefish,pacificcreolefish1.jpg,ハタ科,"全長：30cm
生息：リーフ近くを遊泳する。幼魚は岩の隙間に見かけることが多い。
分布：東部太平洋
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",pacificcreolefish2.jpg,pacificcreolefish3.jpg
メラネシアンアンティアス,Meranesian anthias,melanesiananthias5.jpg,ハタ科,"全長：11cm
生息：岩礁や根の近くで大きな群れで生息する。
分布：フィリピンなど。
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆
キンギョハナダイと分類上は同種であるが、日本にて見られるキンギョハナダイとは体色が異なる。",melanesiananthias4.jpg,melanesiananthias3.jpg
スミレナガハナダイ,Square-spot fairy basslet,sumirenagahanadai4.jpg,ハタ科,"全長：10cm
生息：潮通しの良いサンゴ礁。水深
20～70m。
分布：琉球列島、太平洋。
レア度：★★★☆☆
人気：★★★★☆

撮り易さ：★★☆☆☆
雄には四角形の斑があり、「サロンパス」と呼ぶ人もいる。幼魚は長い鰭と鮮やかな黄色が美しい。",sumirenagahanadai3.jpg,sumirenagahanadai1.jpg
レッドシーコーラルグルーパー,Red sea coralgrouper,redseacoralgrouper1.jpg,ハタ科,"全長：110cm
生息：隠れる場所のある岩礁域や斜面に見られる。
分布：紅海
レア度：★★★★☆

人気：★★★☆☆
撮り易さ：★★★☆☆",欠損,欠損
パシフィックムートンハムレット,Pacific mutton hamlet,pacificmuttonhamlet2.jpg,ハタ科,"全長：25cm
生息：岩礁域や斜面に生息する。
分布：東部太平洋
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",pacificmuttonhamlet3.jpg,pacificmuttonhamlet1.jpg
ソメワケミナミハナダイ,Yellownose slender anthias,somewakeminamihanadai1.jpg,ハタ科,"全長：6cm
生息：潮通しの良いサンゴ礁の斜面に生息する。
分布：インド洋から西部太平洋
レア度：★★★★★
人気：★★★☆☆
撮り易さ：★★☆☆☆
体が細く、尾鰭の色合いで他種と区別できる。",欠損,欠損
キンメモドキ,Golden sweeper,kinmemodoki5.jpg,ハタンポ科,"全長：6cm
生息：沿岸の岩礁域やサンゴ礁域に群れで生息する。
分布：千葉県以南、西太平洋に分布する。
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★★★☆
",kinmemodoki3.jpg,kinmemodoki1.jpg
グラッシースイーパー,Glassy sweeper,glassysweeper1.jpg,ハタンポ科,"全長：10cm
生息：浅海の岩礁域に生息する。昼間は岩陰、洞穴に隠れ、夜間に活動する。
分布：フロリダ半島からブラジル、西部大西洋
レア度：★★★★☆

人気：★★☆☆☆
撮り易さ：★★★★☆
",glassysweeper2.jpg,欠損
ミナミハタンポ,Silver sweeper,minamihatanpo2.jpg,ハタンポ科,"全長：13cm
生息：浅海の岩礁域に生息する。昼間は岩陰、洞穴に隠れ、夜間に活動する。
分布：千葉県以南、西太平洋に分布する。
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★★★☆
",minamihatanpo1.jpg,欠損
ヴァニコロスウィーパー,Vanikoro sweeper,vanikorosweeper3.jpg,ハタンポ科,"全長：20cm
生息：浅海の岩礁域に生息する。昼間は岩陰、洞穴に隠れ、夜間に活動する。
分布：紅海から西太平洋に分布する。
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★★☆
",vanikorosweeper1.jpg,vanikorosweeper2.jpg
リュウキュウハタンポ,Copper sweeper,ryuukyuuhatanpo1.jpg,ハタンポ科,"全長：16cm
生息：浅海の岩礁域に生息する。昼間は岩陰、洞穴に隠れ、夜間に活動する。
分布：琉球列島以南、インド洋から西太平洋に分布する。
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★★★☆
",欠損,欠損
ツマグロハタンポ,Blackfin sweeper,tsumagurohatanpo1.jpg,ハタンポ科,"全長：15cm
生息：浅海の岩礁域に生息する。昼間は岩陰、洞穴に隠れ、夜間に活動する。
分布：静岡県以南、西太平洋に分布する。
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★★★☆
",欠損,欠損
ハゼ科の1種-7,-,haze7-1.jpg,ハゼ科,"全長：2cm
生息：内湾の砂底に生息する。
分布：柏島
レア度：★★★★★
人気：★★☆☆☆
撮り易さ：★★★☆☆
柏島にて見かけた。未記載種か他種の幼魚か。",欠損,欠損
ハゼ科の1種-8,-,haze8-1.jpg,ハゼ科,"全長：-cm
生息：サンゴ礁域の洞穴内
分布：八重山諸島
レア度：★★★★★
人気：★☆☆☆☆
撮り易さ：★★★☆☆",欠損,欠損
ハゼ科の1種-3,-,haze3-1.jpg,ハゼ科,"全長：-cm
生息：-
分布：慶良間諸島
レア度：★★★★★
人気：★★☆☆☆
撮り易さ：★★★☆☆",欠損,欠損
ハゼ科の1種-6,-,haze6-1.jpg,ハゼ科,"全長：2cm
生息：内湾の砂底に生息する。
分布：東シナ海
レア度：★★★★★
人気：★★☆☆☆
撮り易さ：★★★☆☆",欠損,欠損
ハゼ科の1種-5,-,haze5-2.jpg,ハゼ科,"全長：3cm
生息：内湾の砂泥底に生息する。
分布：西表島
レア度：★★★★★
人気：★★☆☆☆
撮り易さ：★★★☆☆
「改訂版　日本のハゼ」に記載のハゼ科の1種-12と思われる。",haze5-1.jpg,haze5-3.jpg
ハゼ科の1種-4,-,haze4-1.jpg,ハゼ科,"全長：-cm
生息：-
分布：西表島
レア度：★★★★★
人気：★★☆☆☆
撮り易さ：★★★☆☆",欠損,欠損
ハゼ科の1種-2,-,haze2-1.jpg,ハゼ科,"全長：6cm
生息：泥底や砂泥底。
分布：慶良間諸島
レア度：★★★★★
人気：★★☆☆☆
撮り易さ：★★★☆☆",欠損,欠損
ハゼ科の1種-1,-,haze1-1.jpg,ハゼ科,"全長：4cm
生息：内湾の砂泥底。水深
2-10m。
分布：八重山諸島
レア度：★★★★★
人気：★★☆☆☆
撮り易さ：★★★☆☆
「改訂版　日本のハゼ」に記載のハゼ科の1種-9と思われる。",haze1-2.jpg,欠損
ハゼ科の1種-9,-,haze9-1.jpg,ハゼ科,"全長：-cm
生息：サンゴ礁域の砂底に生息
分布：西表島
レア度：★★★★★
人気：★☆☆☆☆
撮り易さ：★★★☆☆",欠損,欠損
オニハゼ,Monster shrimpgoby,onihaze1.jpg,ハゼ科,"全長：11cm
生息：礫混じりの砂底でテッポウエビと共生する。水深
10-35m。
分布：日本固有種千葉県以南の南日本
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",欠損,欠損
チャガラ,whitegirdled goby,chagara1.jpg,ハゼ科,"全長：10cm
生息：内湾の岩礁域を遊泳する。
分布：青森県から九州にかけて、朝鮮半島
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★☆☆☆",chagara2.jpg,欠損
サビハゼ,Hairchin goby,sabihaze3.jpg,ハゼ科,"全長：15cm
生息：内湾や港内の砂底、砂泥底に生息する。
分布：青森県から九州にかけて、朝鮮半島
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",sabihaze1.jpg,sabihaze4.jpg
クモハゼ,Dusky frillgoby,kumohaze1.jpg,ハゼ科,"全長：10cm
生息：死サンゴ混じりの砂底やタイドプール。水深
2m以浅
分布：千葉県以南の南日本、インドから太平洋
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",欠損,欠損
オオメハゼ,Flame goby,oomehaze1.jpg,ハゼ科,"全長：3cm
生息：岩礁域、サンゴ礁域の礁斜面。水深
3-20m。
分布：静岡県以南の南日本、インドから太平洋
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",欠損,欠損
クサハゼ,-,kusahaze1.jpg,ハゼ科,"全長：7cm
生息：泥底や砂泥底でテッポウエビ類と共生する。水深
1-50m。
分布：千葉県以南の南日本、インドネシア
レア度：★★★★☆

人気：★★★☆☆
撮り易さ：★★★☆☆",欠損,欠損
ブアンゴビー,Buan goby,buangoby2.jpg,ハゼ科,"全長：10cm
生息：内湾の砂泥底や浅いガレ場に生息する。
分布：パラオ、西太平洋
レア度：★★★★☆

人気：★★★☆☆
撮り易さ：★★★☆☆",buangoby1.jpg,欠損
